avgDelay,avgThroughput,avgJitter
1.725773,0.003899,0.094138
1.684829,0.007892,0.106912
1.652021,0.007264,0.106922
1.612638,0.008438,0.128085
1.564995,0.011754,0.157834
1.690113,0.012971,0.221498
1.698758,0.011760,0.157310
1.780267,0.011575,0.193039
1.732492,0.012445,0.197387
1.765031,0.013758,0.210119
1.735891,0.012738,0.189129
1.735761,0.011392,0.177446
1.718822,0.010887,0.157413
1.713737,0.012099,0.184201
1.748500,0.009546,0.182060
1.750619,0.011016,0.179791
1.754737,0.009631,0.177880
1.722206,0.009230,0.127245
1.724161,0.010178,0.159051
1.747755,0.010088,0.176528
1.741810,0.008882,0.130826
1.756309,0.008922,0.144484
1.756283,0.009646,0.147218
1.752832,0.011254,0.192528
1.732576,0.012971,0.208751
1.736731,0.013795,0.204343
1.747466,0.010826,0.190566
1.741854,0.009544,0.133433
1.765665,0.008812,0.184388
1.776320,0.010496,0.187421
1.759032,0.009451,0.158325
1.774980,0.008555,0.190256
1.742310,0.010821,0.191179
1.766928,0.010583,0.178630
1.791845,0.012061,0.220129
1.758262,0.010331,0.185789
1.712736,0.009551,0.137299
1.743261,0.008644,0.161055
1.732850,0.009058,0.132964
1.705506,0.009588,0.151535
1.704603,0.010380,0.145110
1.739559,0.011598,0.189020
1.766464,0.013256,0.248891
1.782471,0.013130,0.230402
1.742738,0.012203,0.176373
1.734438,0.011072,0.202386
1.720736,0.010427,0.202563
1.746535,0.009720,0.185648
1.748542,0.010546,0.183421
1.748016,0.010488,0.185262
1.758384,0.011022,0.195596
1.778816,0.010397,0.209933
1.729940,0.010461,0.172650
1.659653,0.009516,0.186120
1.644067,0.009404,0.137222
1.682912,0.008840,0.177358
1.664143,0.009374,0.162135
1.656240,0.008647,0.160876
1.625498,0.009544,0.146218
1.630258,0.006268,0.144511
